,job_title,total_number,women_ratio,median_salary,parent
0,Origin,,,,
1,Data Scientist,2676,16.37,35000,Origin
2,Software Engineer,1968,13.21,22500,Origin
3,Data Analyst,1475,23.59,17500,Origin
4,Research Scientist,1174,20.36,27500,Origin
5,Machine Learning Engineer,1082,12.57,17500,Origin
6,Business Analyst,798,19.59,35000,Origin
7,Product/Project Manager,692,11.27,55000,Origin
8,Data Engineer,437,13.73,45000,Origin
9,Statistician,290,23.79,17500,Origin
10,DBA/Database Engineer,125,12.8,27500,Origin
