,origin,age,gender,education,job_title,coding_experience,salary,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7
0,2,30-34,Man,Master’s degree,Data Engineer,5-10 years,"100,000-124,999",1,,,,,1,
1,3,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
2,4,30-34,Man,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",1,,,1,1,,
5,9,35-39,Man,Doctoral degree,Data Scientist,5-10 years,"70,000-79,999",,,1,1,1,,
6,12,35-39,Man,Doctoral degree,Research Scientist,1-2 years,"30,000-39,999",1,,,,,,
7,14,30-34,Man,Bachelor’s degree,Data Engineer,< 1 years,"90,000-99,999",1,,,,,,
8,21,22-24,Woman,Doctoral degree,Statistician,3-5 years,"1,000-1,999",1,"1",,,,,
9,22,30-34,Man,Bachelor’s degree,Data Scientist,< 1 years,$0-999,1,,,,1,,
10,23,55-59,Woman,Master’s degree,Product/Project Manager,1-2 years,"125,000-149,999",,,,1,,,
11,24,35-39,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"10,000-14,999",1,,,,,,
12,25,50-54,Man,Master’s degree,Software Engineer,20+ years,"150,000-199,999",,,,,,,None of these activities are an important part of my role at work
13,29,30-34,Man,Bachelor’s degree,Software Engineer,10-20 years,"60,000-69,999",,"1",,1,,,
14,30,25-29,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,"10,000-14,999",1,,,1,1,,
15,31,35-39,Woman,Master’s degree,Data Analyst,5-10 years,"15,000-19,999",1,"1",1,1,1,1,
16,33,30-34,Man,Doctoral degree,Machine Learning Engineer,10-20 years,"10,000-14,999",,,1,,1,,
17,38,22-24,Man,Master’s degree,Data Scientist,3-5 years,"4,000-4,999",1,,1,,1,,
18,40,18-21,Man,Bachelor’s degree,Data Scientist,3-5 years,"> $500,000",1,,,,,,
19,42,25-29,Man,Doctoral degree,Data Analyst,5-10 years,$0-999,1,,,,,,
20,45,25-29,Woman,Master’s degree,Machine Learning Engineer,1-2 years,"1,000-1,999",,,,,,1,
21,48,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,"1",,,,1,
23,50,30-34,Man,Master’s degree,Data Scientist,3-5 years,"60,000-69,999",1,"1",1,1,1,,
25,53,25-29,Man,Master’s degree,Software Engineer,10-20 years,"300,000-500,000",,,,,,1,
27,57,35-39,Man,Master’s degree,Software Engineer,5-10 years,"25,000-29,999",,,1,,,,
28,59,35-39,Man,Doctoral degree,Data Analyst,1-2 years,"70,000-79,999",1,,1,1,1,,
29,60,25-29,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,"10,000-14,999",1,"1",1,1,1,,
30,61,18-21,Woman,Bachelor’s degree,Data Scientist,< 1 years,$0-999,1,"1",,1,,,
31,65,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",,,1,,1,1,
32,66,25-29,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,$0-999,,,,,,,
33,68,50-54,Woman,Doctoral degree,Research Scientist,1-2 years,$0-999,,,,,1,,
34,69,40-44,Man,Professional degree,Software Engineer,10-20 years,"80,000-89,999",,,1,,,1,
36,74,25-29,Man,Bachelor’s degree,Data Analyst,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
38,78,18-21,Man,Bachelor’s degree,Data Scientist,< 1 years,$0-999,1,,,,,,
39,79,22-24,Man,Master’s degree,Machine Learning Engineer,3-5 years,"15,000-19,999",,,1,1,1,,
40,82,22-24,Man,Professional degree,Data Analyst,1-2 years,$0-999,,"1",1,1,,,
41,84,30-34,Man,Master’s degree,Research Scientist,5-10 years,"80,000-89,999",,"1",1,,1,1,
43,90,55-59,Man,Master’s degree,Data Scientist,10-20 years,"40,000-49,999",1,,1,,,,
44,93,35-39,Man,Master’s degree,Data Scientist,10-20 years,"80,000-89,999",,,1,1,1,,
45,94,22-24,Man,Bachelor’s degree,Data Analyst,3-5 years,"10,000-14,999",,,1,,,,
46,95,18-21,Man,I prefer not to answer,Machine Learning Engineer,1-2 years,$0-999,,,,1,,,
47,101,22-24,Man,Master’s degree,Machine Learning Engineer,3-5 years,"15,000-19,999",,"1",,,1,,
49,104,50-54,Man,Bachelor’s degree,Data Analyst,10-20 years,"90,000-99,999",1,,,,1,,
50,105,22-24,Man,Bachelor’s degree,Software Engineer,5-10 years,"10,000-14,999",,,,,,,
51,106,25-29,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,1,1,1,,
52,110,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,,,,
53,111,22-24,Man,Professional degree,Business Analyst,< 1 years,$0-999,1,"1",,1,,,
54,114,18-21,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"7,500-9,999",1,,,,,,
55,115,25-29,Woman,Master’s degree,Data Scientist,5-10 years,$0-999,1,"1",1,1,1,1,
57,120,35-39,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,,,1,,
58,122,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"15,000-19,999",,,,,,1,
59,124,45-49,Woman,Doctoral degree,Data Scientist,10-20 years,"250,000-299,999",1,,1,,1,,
61,126,25-29,Man,Master’s degree,Software Engineer,3-5 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
62,131,40-44,Man,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,,,,,1,,
63,133,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",,,1,1,1,1,
64,135,25-29,Man,Master’s degree,Machine Learning Engineer,3-5 years,$0-999,,,,,,1,
65,137,35-39,Man,Master’s degree,Data Scientist,5-10 years,"80,000-89,999",1,"1",1,1,,,
66,138,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"60,000-69,999",,,,,,,None of these activities are an important part of my role at work
67,139,25-29,Woman,Bachelor’s degree,Data Analyst,1-2 years,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
68,140,35-39,Woman,Master’s degree,Product/Project Manager,< 1 years,"30,000-39,999",1,,,,,,
70,142,25-29,Man,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",1,,,1,,,
71,143,18-21,Man,I prefer not to answer,Data Scientist,< 1 years,$0-999,1,,,,,,
72,145,22-24,Man,Master’s degree,Research Scientist,3-5 years,"50,000-59,999",,,1,,1,1,
74,147,30-34,Man,Master’s degree,Data Analyst,3-5 years,"4,000-4,999",1,,,,1,1,
75,148,40-44,Man,Doctoral degree,Software Engineer,20+ years,"50,000-59,999",,,,,,,None of these activities are an important part of my role at work
77,154,30-34,Man,Doctoral degree,Research Scientist,3-5 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
78,155,35-39,Man,Master’s degree,Business Analyst,3-5 years,$0-999,1,,1,,1,,
79,156,25-29,Woman,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",1,,1,,,1,
81,158,25-29,Woman,Master’s degree,Data Analyst,5-10 years,"40,000-49,999",1,,,,,,
82,159,22-24,Man,Doctoral degree,Research Scientist,3-5 years,"2,000-2,999",,,,,1,1,
83,161,25-29,Man,Master’s degree,Software Engineer,5-10 years,$0-999,1,"1",1,1,1,1,
84,163,18-21,Man,Bachelor’s degree,Data Scientist,1-2 years,"5,000-7,499",1,"1",,,,,
85,164,30-34,Man,Master’s degree,Software Engineer,5-10 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
86,165,30-34,Man,Professional degree,Research Scientist,< 1 years,$0-999,,,1,,1,1,
88,168,40-44,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,"100,000-124,999",1,,1,1,1,,
90,172,22-24,Woman,Bachelor’s degree,Software Engineer,I have never written code,$0-999,,,,,,,
91,173,25-29,Man,Master’s degree,Data Scientist,3-5 years,"2,000-2,999",1,"1",1,1,1,1,
92,174,50-54,Man,Doctoral degree,Research Scientist,20+ years,"70,000-79,999",,,1,,,1,
93,175,30-34,Man,Master’s degree,Data Analyst,3-5 years,"80,000-89,999",1,"1",,,,,
94,178,45-49,Man,Master’s degree,Software Engineer,3-5 years,"150,000-199,999",,"1",1,,1,,
95,180,30-34,Woman,Bachelor’s degree,Data Scientist,3-5 years,"20,000-24,999",1,,,,,,
96,183,35-39,Man,Master’s degree,Machine Learning Engineer,20+ years,"150,000-199,999",,"1",1,1,1,,
97,184,30-34,Woman,Master’s degree,Data Scientist,1-2 years,"40,000-49,999",1,,,,,,
98,188,40-44,Woman,Bachelor’s degree,Data Analyst,< 1 years,"30,000-39,999",1,,,,,,
100,192,22-24,Woman,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,$0-999,1,"1",1,1,,,
101,194,40-44,Man,Doctoral degree,Data Scientist,20+ years,"100,000-124,999",1,,1,,,,
102,195,22-24,Man,Master’s degree,Data Analyst,3-5 years,"30,000-39,999",,"1",,,,,
103,197,30-34,Woman,Doctoral degree,Data Scientist,5-10 years,"50,000-59,999",1,"1",1,,1,1,
104,199,25-29,Woman,Professional degree,Research Scientist,1-2 years,$0-999,,,1,,,,
105,200,22-24,Woman,Master’s degree,Data Scientist,1-2 years,"15,000-19,999",,,,,,,
107,204,30-34,Man,Bachelor’s degree,Data Scientist,1-2 years,"25,000-29,999",,,1,1,1,1,
109,209,40-44,Man,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",1,"1",1,1,1,,
110,210,35-39,Man,Master’s degree,Data Scientist,5-10 years,"4,000-4,999",,,1,,1,1,
116,221,25-29,Woman,Master’s degree,Data Scientist,1-2 years,"60,000-69,999",1,"1",,1,,1,
117,222,22-24,Woman,Master’s degree,Data Scientist,< 1 years,$0-999,,,,,,,None of these activities are an important part of my role at work
118,225,25-29,Man,Professional degree,Data Analyst,5-10 years,"10,000-14,999",1,"1",,,,,
119,230,18-21,Man,Master’s degree,Software Engineer,3-5 years,"90,000-99,999",,,,,,,None of these activities are an important part of my role at work
120,232,60-69,Man,Master’s degree,Product/Project Manager,< 1 years,"150,000-199,999",,,,,,,None of these activities are an important part of my role at work
121,234,35-39,Man,Professional degree,Data Analyst,5-10 years,"50,000-59,999",1,"1",1,,,,
122,237,22-24,Man,Bachelor’s degree,Data Engineer,10-20 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
123,240,30-34,Man,Master’s degree,Software Engineer,3-5 years,"25,000-29,999",,,1,,,1,
125,243,18-21,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,1,,1,,1,,
126,244,40-44,Woman,Master’s degree,Statistician,1-2 years,"40,000-49,999",1,,,,,,
127,245,25-29,Man,Bachelor’s degree,Software Engineer,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
128,246,30-34,Man,Master’s degree,Data Scientist,5-10 years,"200,000-249,999",1,"1",1,1,,,
130,250,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,"1",,,1,,
131,254,50-54,Man,Master’s degree,Product/Project Manager,20+ years,"125,000-149,999",,,1,1,,,
132,255,25-29,Man,Master’s degree,Data Scientist,3-5 years,$0-999,,,,1,1,1,
133,257,22-24,Man,Bachelor’s degree,Software Engineer,I have never written code,"2,000-2,999",1,,,1,,,
134,259,18-21,Man,Bachelor’s degree,Software Engineer,1-2 years,"4,000-4,999",1,,1,,,,
135,260,18-21,Man,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0-999,,,,1,,,
136,265,22-24,Man,Master’s degree,Machine Learning Engineer,5-10 years,"5,000-7,499",,,1,1,,,
137,266,25-29,Man,Bachelor’s degree,Data Engineer,3-5 years,"20,000-24,999",1,"1",,,,,
138,268,40-44,Man,Master’s degree,Statistician,10-20 years,"150,000-199,999",1,"1",,1,1,1,
140,271,22-24,Man,Master’s degree,Data Analyst,1-2 years,"10,000-14,999",,"1",1,,1,1,
141,272,45-49,Man,Professional degree,Software Engineer,10-20 years,$0-999,,,,,,,None of these activities are an important part of my role at work
142,275,55-59,Man,Doctoral degree,Business Analyst,20+ years,"125,000-149,999",1,,,,,1,
144,278,50-54,Man,Master’s degree,Software Engineer,20+ years,"100,000-124,999",1,,,,,,
146,288,50-54,Man,Doctoral degree,Research Scientist,I have never written code,$0-999,,,,,,,None of these activities are an important part of my role at work
147,291,30-34,Man,Master’s degree,Data Analyst,< 1 years,"25,000-29,999",1,,,,,,
148,293,22-24,Man,Master’s degree,Business Analyst,3-5 years,"60,000-69,999",1,,,,,,
149,294,25-29,Man,Master’s degree,Data Analyst,< 1 years,"50,000-59,999",1,,1,,,,
151,301,45-49,Man,Master’s degree,Machine Learning Engineer,20+ years,"20,000-24,999",,,1,1,,1,
152,302,35-39,Man,Master’s degree,Data Engineer,5-10 years,"20,000-24,999",,"1",,,,,
153,303,30-34,Man,Master’s degree,Data Scientist,5-10 years,"50,000-59,999",1,,1,1,,,
154,307,40-44,Man,Doctoral degree,Business Analyst,< 1 years,$0-999,1,"1",1,1,1,1,
155,309,35-39,Woman,Master’s degree,Data Analyst,3-5 years,"40,000-49,999",1,,,,,,
156,311,55-59,Man,Master’s degree,Data Scientist,5-10 years,"70,000-79,999",1,,1,1,1,,
157,314,60-69,Man,Master’s degree,Product/Project Manager,20+ years,"60,000-69,999",,"1",,1,,,
158,316,45-49,Man,Master’s degree,Software Engineer,20+ years,"100,000-124,999",,,,,,,None of these activities are an important part of my role at work
159,317,55-59,Man,Master’s degree,Product/Project Manager,20+ years,"200,000-249,999",,,,,,,None of these activities are an important part of my role at work
160,318,55-59,Man,Doctoral degree,Data Scientist,20+ years,"300,000-500,000",1,,1,,1,1,
161,320,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",1,"1",1,,,,
162,322,18-21,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,,,,,,,
163,325,25-29,Man,Bachelor’s degree,Data Scientist,10-20 years,"100,000-124,999",1,"1",1,,,,
165,328,35-39,Man,Master’s degree,Data Scientist,5-10 years,"5,000-7,499",1,,,1,,1,
166,330,40-44,Man,Master’s degree,Software Engineer,20+ years,"20,000-24,999",,,,,,,None of these activities are an important part of my role at work
167,333,35-39,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,1,"1",1,1,1,1,
168,334,30-34,Man,Master’s degree,Software Engineer,5-10 years,$0-999,1,,,,,,
169,339,22-24,Man,Some college/university study without earning a bachelor’s degree,Product/Project Manager,3-5 years,$0-999,1,"1",1,,,,
170,345,50-54,Man,Doctoral degree,Research Scientist,10-20 years,"3,000-3,999",1,,,,,,
171,348,45-49,Man,Bachelor’s degree,Product/Project Manager,I have never written code,"100,000-124,999",,,,,,,None of these activities are an important part of my role at work
